Date,Close/Last,Volume,Open,High,Low
06/22/2023,$108.25,5480569,$106.69,$108.36,$106.44
06/21/2023,$106.25,4428688,$106.62,$106.76,$105.61
06/20/2023,$106.70,6573157,$105.20,$107.67,$104.90
06/16/2023,$106.20,10020900,$105.44,$106.57,$105.37
06/15/2023,$105.02,6378577,$103.26,$105.32,$103.11
06/14/2023,$103.25,5020755,$103.31,$104.15,$102.82
06/13/2023,$101.86,4642356,$101.49,$102.07,$100.94
06/12/2023,$101.40,3629249,$101.84,$101.91,$100.79
06/09/2023,$101.69,4275980,$100.97,$101.975,$100.54
06/08/2023,$100.78,5159552,$101.25,$101.38,$100.57
06/07/2023,$101.66,6231356,$102.42,$102.49,$101.25
06/06/2023,$102.62,4044480,$103.87,$104.04,$102.215
06/05/2023,$103.76,3566085,$104.06,$105.005,$103.34
06/02/2023,$104.20,6024366,$103.31,$104.50,$102.85
06/01/2023,$102.82,4603956,$101.91,$102.90,$100.91
05/31/2023,$102.00,7063447,$101.50,$102.27,$100.3797
05/30/2023,$101.71,5168779,$102.25,$102.52,$101.57
05/26/2023,$102.87,4911806,$102.15,$103.45,$102.03
05/25/2023,$102.14,6734536,$103.27,$103.525,$101.3428
05/24/2023,$104.04,4507605,$105.65,$105.65,$103.99
05/23/2023,$105.74,4337824,$107.30,$107.48,$105.52
05/22/2023,$108.25,2809637,$108.68,$109.32,$108.07
05/19/2023,$108.93,4487698,$108.98,$109.9795,$108.4005
05/18/2023,$108.47,3481596,$108.73,$108.84,$107.87
05/17/2023,$108.82,3800970,$109.77,$109.98,$107.97
05/16/2023,$109.39,3394395,$109.54,$110.455,$109.26
05/15/2023,$109.84,3019956,$110.64,$110.9799,$109.5382
05/12/2023,$110.49,3325163,$109.76,$110.545,$109.48
05/11/2023,$110.05,3879469,$110.06,$110.47,$109.26
05/10/2023,$110.69,3129099,$110.90,$110.97,$109.625
05/09/2023,$110.25,3274338,$110.13,$111.03,$109.29
05/08/2023,$110.90,2445474,$110.46,$111.5829,$110.2927
05/05/2023,$111.26,4025017,$111.37,$111.75,$111.045
05/04/2023,$110.86,4070791,$111.45,$111.49,$110.56
05/03/2023,$111.76,5602034,$111.81,$112.95,$111.432
05/02/2023,$111.50,4998172,$111.06,$111.94,$110.43
05/01/2023,$111.11,3722880,$110.46,$111.57,$109.93
04/28/2023,$110.47,4835966,$109.44,$110.85,$109.3698
04/27/2023,$109.50,4257373,$108.71,$109.54,$107.67
04/26/2023,$108.75,4240004,$109.32,$109.42,$108.27
04/25/2023,$109.97,5636787,$110.39,$110.53,$109.67
04/24/2023,$110.40,5341897,$111.75,$111.75,$110.14
04/21/2023,$111.66,6301173,$110.88,$112.12,$110.88
04/20/2023,$110.35,7413167,$112.25,$112.29,$110.00
04/19/2023,$112.29,12425380,$108.50,$112.70,$108.15
04/18/2023,$104.15,6552086,$105.44,$105.70,$103.93
04/17/2023,$104.52,4806365,$104.00,$104.8499,$104.00
04/14/2023,$103.96,5043723,$103.61,$104.35,$103.46
04/13/2023,$103.61,4778773,$102.75,$103.71,$101.80
04/12/2023,$102.56,4560728,$103.39,$103.84,$102.31
04/11/2023,$103.29,4658107,$104.20,$104.70,$103.095
04/10/2023,$103.70,4900273,$104.42,$104.91,$103.06
04/06/2023,$104.93,5065054,$104.49,$105.55,$104.18
04/05/2023,$104.21,7298334,$102.63,$104.29,$102.50
04/04/2023,$102.80,7979045,$101.90,$103.34,$101.83
04/03/2023,$101.59,5432562,$100.80,$101.66,$100.04
03/31/2023,$101.26,6442440,$99.915,$101.41,$99.73
03/30/2023,$99.08,5199311,$99.38,$99.48,$98.51
03/29/2023,$98.62,6780210,$98.01,$98.74,$97.25
03/28/2023,$97.11,4815443,$98.10,$98.24,$96.61
03/27/2023,$98.46,4627788,$99.00,$99.48,$98.27
03/24/2023,$98.05,5269219,$97.04,$98.08,$96.81
03/23/2023,$97.04,4525068,$96.90,$97.81,$96.44
03/22/2023,$96.86,3606765,$98.61,$99.31,$96.84
03/21/2023,$98.33,4475142,$98.17,$98.41,$97.285
03/20/2023,$97.87,6075767,$97.255,$98.20,$97.175
03/17/2023,$97.01,10848300,$99.01,$99.20,$96.51
03/16/2023,$99.03,5289406,$97.06,$99.28,$97.00
03/15/2023,$97.80,5712263,$97.50,$97.9407,$96.7013
03/14/2023,$98.55,5093942,$99.28,$99.50,$97.34
03/13/2023,$98.19,6553155,$96.60,$99.20,$96.39
03/10/2023,$96.96,7042464,$97.76,$98.395,$96.555
03/09/2023,$97.85,5145993,$99.89,$99.97,$97.50
03/08/2023,$99.40,6252798,$99.915,$100.2675,$99.26
03/07/2023,$99.98,6349041,$102.86,$103.10,$99.82
03/06/2023,$102.75,5005142,$104.51,$104.60,$102.63
03/03/2023,$104.45,4982559,$102.90,$104.51,$102.76
03/02/2023,$102.63,5209962,$100.27,$102.98,$100.27
03/01/2023,$100.83,3963575,$100.70,$101.36,$100.39
02/28/2023,$101.72,7877048,$99.84,$102.415,$99.69
02/27/2023,$99.77,4489818,$101.28,$101.311,$99.66
02/24/2023,$100.46,5476807,$101.45,$101.80,$99.89
02/23/2023,$102.55,4611065,$103.24,$103.78,$101.66
02/22/2023,$102.69,8900923,$103.24,$103.845,$100.50
02/21/2023,$103.65,5204362,$105.85,$106.14,$103.35
02/17/2023,$106.74,3564224,$105.54,$106.9607,$105.49
02/16/2023,$106.08,3299037,$105.77,$107.389,$105.67
02/15/2023,$107.28,4060340,$106.76,$107.31,$106.28
02/14/2023,$107.26,4243962,$108.19,$108.34,$106.3584
02/13/2023,$108.52,3711019,$108.32,$109.14,$107.77
02/10/2023,$108.16,4186301,$108.26,$108.895,$107.80
02/09/2023,$108.07,3912740,$110.69,$111.27,$107.51
02/08/2023,$110.20,4222392,$111.40,$111.87,$109.745
02/07/2023,$111.99,3401571,$110.04,$112.41,$109.88
02/06/2023,$110.75,4145574,$111.57,$111.69,$110.46
02/03/2023,$111.79,3754480,$111.81,$112.329,$110.66
02/02/2023,$112.25,5051842,$111.28,$112.37,$110.89
02/01/2023,$111.82,4532383,$110.78,$112.085,$109.67
01/31/2023,$110.55,5698310,$109.79,$110.66,$108.87
01/30/2023,$109.81,4434820,$109.81,$110.67,$109.62
01/27/2023,$109.95,4860837,$110.65,$111.26,$109.81
01/26/2023,$111.07,4159585,$111.25,$111.62,$110.11
01/25/2023,$111.00,6070815,$110.00,$112.24,$109.59
01/24/2023,$112.53,4662038,$113.00,$114.17,$112.28
